Id,area,bedrooms,bathrooms,price
1,8450,3,2,208500
2,9600,3,2,181500
3,11250,3,2,223500
4,9550,3,1,140000
5,14260,4,2,250000
6,14115,1,1,143000
7,10084,3,2,307000
8,10382,3,2,200000
9,6120,2,2,129900
10,7420,2,1,118000
11,11200,3,1,129500
12,11924,4,3,345000
13,12968,2,1,144000
14,10652,3,2,279500
15,10920,2,1,157000
16,6120,2,1,132000
17,11241,2,1,149000
18,10791,2,2,90000
19,13695,3,1,159000
20,7560,3,1,139000
21,14215,4,3,325300
22,7449,3,1,139400
23,9742,3,2,230000
24,4224,3,1,129900
25,8246,3,1,154000
26,14230,3,2,256300
27,7200,3,1,134800
28,11478,3,2,306000
29,16321,2,1,207500
30,6324,1,1,68500
31,8500,3,1,40000
32,8544,3,1,149350
33,11049,3,2,179900
34,10552,4,1,165500
35,7313,2,2,277500
36,13418,4,3,309000
37,10859,3,1,145000
38,8532,3,1,153000
39,7922,3,1,109000
40,6040,2,2,82000
41,8658,3,2,160000
42,16905,2,1,170000
43,9180,2,1,144000
44,9200,3,1,130250
45,7945,3,1,141000
46,7658,2,2,319900
47,12822,1,1,239686
48,11096,3,2,249700
49,4456,2,2,113000
50,7742,3,1,127000
51,13869,3,2,177000
52,6240,3,1,114500
53,8472,2,1,110000
54,50271,0,0,385000
55,7134,3,1,130000
56,10175,3,2,180500
57,2645,3,2,172500
58,11645,3,2,196500
59,13682,3,3,438780
60,7200,2,1,124900
61,13072,3,1,158000
62,7200,3,1,101000
63,6442,2,2,202500
64,10300,3,2,140000
65,9375,3,2,219500
66,9591,4,2,317000
67,19900,3,2,180000
68,10665,3,2,226000
69,4608,2,1,80000
70,15593,3,2,225000
71,13651,3,2,244000
72,7599,2,1,129500
73,10141,3,2,185000
74,10200,3,1,144900
75,5790,3,2,107400
76,1596,2,1,91000
77,8475,2,1,135750
78,8635,2,1,127000
79,10778,4,2,136500
80,10440,2,1,110000
81,13000,4,2,193500
82,4500,2,2,153500
83,10206,3,2,245000
84,8892,3,1,126500
85,8530,3,2,168500
86,16059,4,2,260000
87,11911,3,2,174000
88,3951,2,2,164500
89,8470,2,1,85000
90,8070,3,1,123600
91,7200,2,1,109900
92,8500,2,1,98600
93,13360,2,1,163500
94,7200,4,2,133900
95,9337,3,2,204750
96,9765,3,2,185000
97,10264,3,2,214000
98,10921,3,1,94750
99,10625,2,1,83000
100,9320,3,1,128950
101,10603,3,2,205000
102,9206,3,2,178000
103,7018,4,2,118964
104,10402,3,2,198900
105,7758,4,1,169500
106,9375,3,2,250000
107,10800,2,1,100000
108,6000,2,1,115000
109,8500,3,2,115000
110,11751,3,2,190000
111,9525,4,2,136900
112,7750,3,2,180000
113,9965,4,2,383970
114,21000,3,2,217000
115,7259,3,2,259500
116,3230,2,2,176000
117,11616,3,1,139000
118,8536,2,1,155000
119,12376,5,3,320000
120,8461,3,2,163990
121,21453,1,1,180000
122,6060,3,1,100000
123,9464,3,1,136000
124,7892,2,2,153900
125,17043,3,2,181000
126,6780,2,1,84500
127,4928,2,2,128000
128,4388,3,1,87000
129,7590,3,1,155000
130,8973,3,1,150000
131,14200,4,2,226000
132,12224,3,2,244000
133,7388,3,1,150750
134,6853,2,2,220000
135,10335,3,2,180000
136,10400,3,2,174000
137,10355,3,2,143000
138,11070,5,3,171000
139,9066,3,2,230000
140,15426,3,2,231500
141,10500,3,1,115000
142,11645,3,2,260000
143,8520,4,2,166000
144,10335,3,2,204000
145,9100,6,2,125000
146,2522,3,2,130000
147,6120,2,1,105000
148,9505,3,2,222500
149,7500,3,1,141000
150,6240,3,1,115000
151,10356,3,1,122000
152,13891,2,2,372402
153,14803,4,2,190000
154,13500,1,1,235000
155,11340,4,1,125000
156,9600,2,1,79000
157,7200,2,1,109500
158,12003,4,2,269500
159,12552,3,2,254900
160,19378,4,2,320000
161,11120,3,2,162500
162,13688,3,2,412500
163,12182,3,2,220000
164,5500,1,1,103200
165,5400,3,2,152000
166,10106,4,2,127500
167,10708,2,1,190000
168,10562,3,1,325624
169,8244,3,2,183500
170,16669,2,2,228000
171,12358,2,1,128500
172,31770,3,1,215000
173,5306,2,2,239000
174,10197,3,1,163000
175,12416,3,2,184000
176,12615,4,2,243000
177,10029,4,2,211000
178,13650,4,2,172500
179,17423,1,2,501837
180,8520,2,1,100000
181,2117,3,2,177000
182,7588,4,1,200100
183,9060,3,1,120000
184,11426,3,2,200000
185,7438,3,1,127000
186,22950,4,2,475000
187,9947,3,2,173000
